date,dj_name,event_type,event_name,venue,city,country,latitude,longitude,genre,attendance,ticket_price
2024-07-04,Carl Cox,Festival,Festival featuring Carl Cox,United Center,Chicago,USA,41.8807,-87.6742,Techno,39544,199
2023-04-23,Carl Cox,Festival,Festival featuring Carl Cox,Las Vegas Motor Speedway,Las Vegas,USA,36.2733,-115.0119,Techno,29700,56
2023-02-08,Carl Cox,Club Gig,Club Gig featuring Carl Cox,Printworks,London,UK,51.4985,-0.0429,Techno,52255,385
2023-05-17,Carl Cox,Club Gig,Club Gig featuring Carl Cox,Exchange LA,Los Angeles,USA,34.0486,-118.2551,Techno,24053,317
2024-05-21,Carl Cox,Festival,Festival featuring Carl Cox,DC10,Ibiza,Spain,38.8816,1.3921,Techno,29230,131
2024-02-17,Carl Cox,Concert,Concert featuring Carl Cox,Warung Beach Club,Itajaí,Brazil,-26.9536,-48.6301,Techno,32978,165
2024-04-30,Carl Cox,Festival,Festival featuring Carl Cox,Gashouder,Amsterdam,Netherlands,52.3867,4.8731,Techno,67121,350
2022-10-16,Carl Cox,Concert,Concert featuring Carl Cox,Pacha,Ibiza,Spain,38.9185,1.4434,Techno,29963,299
2023-08-07,Carl Cox,Club Gig,Club Gig featuring Carl Cox,Petrovaradin Fortress,Novi Sad,Serbia,45.252,19.861,Techno,16609,319
2023-10-27,Carl Cox,Festival,Festival featuring Carl Cox,Output,New York,USA,40.7213,-73.9577,Techno,4522,80
2022-06-16,Carl Cox,Festival,Festival featuring Carl Cox,Output,New York,USA,40.7213,-73.9577,Techno,65407,293
2022-09-08,Carl Cox,Club Gig,Club Gig featuring Carl Cox,Boom,Boom,Belgium,51.0926,4.3717,Techno,63848,282
2022-11-03,Carl Cox,Club Gig,Club Gig featuring Carl Cox,Las Vegas Motor Speedway,Las Vegas,USA,36.2733,-115.0119,Techno,51239,137
2023-07-13,Carl Cox,Club Gig,Club Gig featuring Carl Cox,Hi Ibiza,Ibiza,Spain,38.8898,1.4065,Techno,43518,294
